場,レース,買い目,推定確率%,オッズ(取得時),回収率%
平和島,12R,2-1-5,1.92,94.8,181.8
蒲郡,3R,1-2-4,2.22,81.9,181.8
三国,11R,3-4-2,1.90,95.7,181.8
丸亀,10R,5-1-2,4.29,42.3,181.6
鳴門,4R,1-2-5,2.19,82.9,181.5
丸亀,9R,2-1-4,3.43,52.8,181.1
津,10R,1-2-4,3.88,46.7,181.0
びわこ,6R,2-4-1,2.16,83.8,181.0
多摩川,5R,2-1-4,4.70,38.5,181.0
鳴門,6R,1-4-2,9.01,20.0,180.1
尼崎,10R,2-1-4,8.41,21.4,179.9
宮島,3R,1-3-4,3.61,49.8,179.9
多摩川,12R,4-2-1,2.06,86.9,179.1
桐生,1R,1-4-5,9.62,18.6,178.9
丸亀,1R,3-1-5,7.51,23.8,178.7
津,7R,1-3-4,4.69,38.1,178.6
びわこ,10R,1-5-3,6.00,29.7,178.2
蒲郡,10R,1-4-3,11.26,15.8,177.9
丸亀,12R,1-4-3,9.26,19.2,177.8
丸亀,1R,5-1-3,3.30,53.8,177.7
唐津,4R,1-2-4,3.05,58.3,177.7
平和島,6R,5-1-2,5.69,31.2,177.6
びわこ,5R,3-1-2,4.05,43.8,177.4
津,8R,4-3-1,5.11,34.7,177.4
津,11R,2-5-1,2.24,79.1,177.3
尼崎,3R,1-5-2,6.31,28.1,177.3
宮島,1R,1-5-3,10.58,16.7,176.7
尼崎,4R,1-4-2,22.08,8.0,176.6
桐生,2R,4-1-5,5.59,31.6,176.5
宮島,1R,1-4-2,2.50,70.5,176.0
津,9R,1-2-4,14.65,12.0,175.8
三国,2R,1-2-4,8.87,19.8,175.7
唐津,2R,1-5-4,4.69,37.4,175.6
宮島,6R,1-4-2,7.50,23.4,175.5
唐津,12R,2-1-3,3.30,53.2,175.5
津,8R,1-4-3,2.70,65.0,175.4
尼崎,5R,1-2-3,5.95,29.5,175.4
びわこ,8R,2-1-3,2.75,63.7,175.3
桐生,9R,3-1-2,2.64,66.4,175.2
多摩川,12R,2-1-4,4.76,36.8,175.0
宮島,9R,5-2-1,2.13,82.2,174.9
蒲郡,9R,4-2-1,3.05,57.1,174.3
びわこ,2R,1-5-4,4.98,34.9,173.7
津,4R,2-1-3,3.18,54.6,173.5
びわこ,12R,1-6-2,5.13,33.8,173.4
鳴門,12R,1-3-2,6.23,27.8,173.3
多摩川,7R,4-1-2,2.62,66.1,173.1
多摩川,8R,1-5-2,5.46,31.7,173.0
びわこ,10R,1-3-5,6.90,25.0,172.4
平和島,2R,1-4-3,6.20,27.8,172.4
丸亀,11R,1-4-3,2.78,62.1,172.4
平和島,7R,1-2-3,10.01,17.2,172.2
宮島,7R,2-1-4,3.94,43.6,171.9
平和島,5R,5-2-1,2.83,60.7,171.5
蒲郡,5R,4-1-2,7.51,22.8,171.3
びわこ,10R,1-3-4,4.57,37.4,171.0
唐津,8R,3-1-2,4.61,37.1,170.9
びわこ,10R,5-1-3,2.90,58.9,170.9
平和島,4R,1-3-4,3.65,46.8,170.7
びわこ,7R,2-1-3,2.92,58.5,170.6
三国,8R,1-4-2,11.14,15.3,170.4
唐津,2R,1-5-2,2.75,61.8,170.1
平和島,8R,1-4-3,11.97,14.2,170.0
宮島,2R,2-1-3,3.65,46.6,169.9
多摩川,3R,1-4-2,2.98,57.0,169.7
蒲郡,10R,3-1-4,1.71,99.1,169.6
多摩川,4R,1-3-2,16.15,10.5,169.5
津,6R,4-1-3,8.42,20.1,169.3
津,8R,1-3-2,3.92,43.0,168.7
宮島,2R,3-1-2,1.96,86.0,168.6
平和島,1R,1-2-5,3.47,48.6,168.5
宮島,1R,1-2-4,2.25,74.7,168.4
唐津,5R,2-4-1,12.02,14.0,168.2
鳴門,8R,1-4-3,4.86,34.6,168.2
多摩川,6R,3-4-1,6.62,25.4,168.1
三国,5R,4-1-5,3.57,47.0,167.6
平和島,12R,2-1-4,4.46,37.5,167.3
三国,7R,3-1-2,8.35,20.0,167.0
鳴門,9R,1-5-2,4.94,33.8,166.9
唐津,2R,1-2-5,2.43,68.7,166.7
鳴門,3R,1-2-3,12.51,13.3,166.4
びわこ,6R,2-1-4,5.13,32.4,166.3
鳴門,6R,1-3-5,1.97,84.6,166.3
丸亀,2R,2-4-1,6.06,27.4,165.9
鳴門,10R,1-2-3,6.80,24.4,165.9
尼崎,6R,1-3-2,2.63,63.0,165.9
桐生,3R,2-1-5,2.92,56.7,165.5
鳴門,12R,1-4-3,11.57,14.3,165.4
唐津,1R,1-5-2,10.26,16.1,165.1
びわこ,4R,1-4-2,3.49,47.3,165.0
津,8R,3-1-2,7.97,20.7,164.9
びわこ,11R,1-3-5,3.33,49.5,164.7
丸亀,7R,1-5-3,4.97,33.1,164.6
多摩川,11R,1-6-5,3.08,53.4,164.4
平和島,2R,1-2-4,5.61,29.3,164.3
蒲郡,3R,1-3-2,6.34,25.9,164.2
宮島,6R,1-2-3,6.62,24.8,164.2
多摩川,3R,2-1-4,3.58,45.8,164.1
津,4R,1-4-2,2.50,65.6,164.1
津,5R,3-1-2,11.00,14.9,164.0
平和島,11R,4-1-6,1.84,88.8,163.7
蒲郡,2R,2-1-5,6.62,24.7,163.5
蒲郡,1R,4-1-2,9.29,17.6,163.5
多摩川,10R,3-1-4,3.37,48.5,163.3
平和島,2R,1-6-4,2.71,60.2,163.3
多摩川,5R,2-1-3,9.43,17.3,163.2
津,3R,4-3-1,1.64,98.9,162.7
宮島,1R,1-3-2,6.86,23.7,162.7
鳴門,6R,1-5-2,6.89,23.6,162.6
丸亀,1R,1-4-5,1.78,91.3,162.4
多摩川,3R,1-4-3,2.71,60.0,162.3
蒲郡,3R,5-1-2,2.55,63.7,162.3
鳴門,6R,1-4-5,6.21,26.1,162.2
丸亀,1R,5-3-1,2.26,71.7,162.1
三国,8R,1-4-3,5.04,32.1,161.9
唐津,7R,2-3-4,2.16,74.8,161.3
平和島,9R,2-1-3,7.29,22.1,161.2
三国,12R,2-1-3,5.56,29.0,161.1
鳴門,3R,1-3-2,10.96,14.7,161.1
三国,12R,4-1-3,2.06,78.0,161.0
多摩川,1R,1-4-2,11.99,13.4,160.7
津,7R,1-4-3,4.46,36.0,160.5
桐生,11R,4-1-2,5.16,31.1,160.5
蒲郡,5R,1-5-4,2.47,64.9,160.1
三国,5R,1-5-4,1.61,99.0,159.3
三国,4R,3-4-1,1.75,91.1,159.2
桐生,9R,1-5-2,4.60,34.6,159.2
津,6R,3-1-4,2.88,55.2,159.2
鳴門,6R,5-1-4,1.79,89.0,159.1
鳴門,7R,1-5-2,9.30,17.1,159.1
尼崎,7R,4-1-2,3.25,48.9,158.9
尼崎,1R,3-1-2,13.94,11.4,158.9
三国,12R,2-1-5,1.73,91.5,158.6
桐生,9R,1-2-5,5.85,27.1,158.6
平和島,10R,1-4-2,10.93,14.5,158.4
平和島,11R,1-4-6,4.46,35.5,158.4
